Dia;Mês;Ano;Cepagri;IAC;Viracopos
15;2;1991;29.6;28.8;30
16;2;1991;29.8;28.8;28.61
17;2;1991;31.0;30.6;31
18;2;1991;27.8;26.2;29
19;2;1991;29.8;29;28
20;2;1991;30.2;29.2;29.39
21;2;1991;32.2;31.6;31
22;2;1991;31.6;31;30.61
23;2;1991;29.4;29;29.72
24;2;1991;28.2;26.8;27.61
25;2;1991;31.0;29.8;30
26;2;1991;30.6;30.4;30
27;2;1991;32.0;30.8;30.5
28;2;1991;31.8;31;31
1;3;1991;30.4;29.4;31
2;3;1991;25.8;26.4;29.22
3;3;1991;29.4;28.6;27
4;3;1991;25.8;25.2;27.28
5;3;1991;25.6;25;25.39
6;3;1991;25.7;25;24.78
7;3;1991;27.8;26.4;25
8;3;1991;30.8;29.6;29.5
9;3;1991;31.8;31.2;31
10;3;1991;32.2;31;31
11;3;1991;32.2;31.4;31
12;3;1991;31.0;30.2;30.78
13;3;1991;31.2;30;29.89
14;3;1991;30.0;28.8;29
15;3;1991;28.2;26.8;28
16;3;1991;28.0;27.6;27
17;3;1991;29.4;28.6;28.22
18;3;1991;30.0;29.8;29
19;3;1991;27.0;26.6;28.78
20;3;1991;29.6;29;28
21;3;1991;30.4;30.2;29.22
22;3;1991;27.8;26.8;29.22
23;3;1991;28.0;27.2;27
24;3;1991;27.8;26.8;26.61
25;3;1991;28.0;27.2;27
26;3;1991;22.8;21.8;26.78
27;3;1991;19.4;18.8;19
28;3;1991;19.2;18.8;18.22
29;3;1991;20.6;19.8;19
30;3;1991;23.8;21.4;21
