Dia,Mês,Ano,Cepagri,IAC
2,9,1990,14.4,14.2
3,9,1990,13.9,13.2
4,9,1990,14.6,14.2
5,9,1990,15.4,15
6,9,1990,15.3,14.8
7,9,1990,16.8,16.4
8,9,1990,17.8,16.4
9,9,1990,11.6,13
10,9,1990,13.4,13.4
11,9,1990,10.9,13
12,9,1990,14.5,16.6
13,9,1990,17.6,17.2
14,9,1990,10.7,10
15,9,1990,8.6,9
16,9,1990,7.7,7
17,9,1990,10.1,11.2
18,9,1990,10.7,12.8
19,9,1990,14.4,14.8
20,9,1990,16.5,17.4
21,9,1990,18,17.4
22,9,1990,18.6,19
23,9,1990,16.2,16.2
24,9,1990,14.2,13.2
25,9,1990,11.5,11
26,9,1990,9.9,11.6
27,9,1990,12.6,12.2
28,9,1990,13,12.8
29,9,1990,17.6,17.8
30,9,1990,15.6,15.2
1,10,1990,16.4,15.6
2,10,1990,15,15.6
3,10,1990,16.6,16.6
4,10,1990,17.2,17.2
5,10,1990,17,17
6,10,1990,17.2,17
7,10,1990,16.8,17
8,10,1990,17.8,17.4
9,10,1990,18.6,19.8
10,10,1990,19.4,19
11,10,1990,22.6,22
12,10,1990,22,21
13,10,1990,19.4,19.2
14,10,1990,20.2,19.8
15,10,1990,20,19.8
16,10,1990,18,17.2
17,10,1990,14.7,14.2
18,10,1990,17.9,16.4
19,10,1990,19.5,18.8
20,10,1990,18.6,19.2
21,10,1990,15.9,15.4
22,10,1990,14.2,14.4
23,10,1990,14.4,14.2
24,10,1990,17.6,16.8
25,10,1990,18.6,18
26,10,1990,15.9,15.6
27,10,1990,16.6,15.6
28,10,1990,16.9,16.4
29,10,1990,19.2,19
30,10,1990,18.8,19
31,10,1990,21.7,21.8
1,11,1990,21.4,21
2,11,1990,20.6,18.6
3,11,1990,20.9,20.4
4,11,1990,21.6,22
5,11,1990,21.8,20.4
6,11,1990,17,17.2
7,11,1990,18.4,17.8
8,11,1990,21.4,21.2
9,11,1990,21,20.8
10,11,1990,20.4,20
11,11,1990,19.6,18.8
12,11,1990,21.8,20.6
13,11,1990,21.6,21.2
14,11,1990,23.4,22.4
15,11,1990,21.8,21.6
